Serial No.,DeviceId,StartTime,spd_bn,po_name,po_code,Newpo_code,spd_res_name,spd_vill,vill_tow_name,near_place,po_pri_nu,spd_emu_info,enu_name,enu_code,sup_name,sup_code,gp_inf_cons,disp_info_cons,now_name,gp_start,gp_part1,q1,q2,q3,q4,q5,q6,gp_part1_ter1,gp_part2,q9,q9_1,q10,q11,q12,q12_1,q12_oth,q13,gp_part3,q14,q15,q16,spd_q17,q17,q17_1,q17_2,q17_3,q17_4,q17_5,q17_6,q17_7,q17_8,gp_part4,q18,q18_oth,q19,q20,q20_oth,q21,q22,q23,spd_24,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q25,q26,gp_part5,q27,q28,q29,q30,q31,q32,gp_part6,q33,q34,q35,q36,gp_part7,q37,q37_oth,q38,q39,q39_oth,q40,q40_oth,q41,q42,q43,gp_part8,p8,flr1,flr2,flr3,gp_part9,q44,q44_oth,q45,q45_oth,q46,q46_oth,q47,spd_q48,q48_disp,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,gp_part9a,part9a_q51,part9a_q52,part9a_q53,gp_part9b,part9b_q51,part9b_q52,part9b_q53,resut,KEY,PARENT_KEY,KEY-data
350,8.69E+14,2019-04-22T09:28:17.647+05:30,,Ramruchi kanya uchcha vidyalaya,58,58,,,Ramdhanpur,Mahima medical shops,2,,Rajesh kumar 1,11,Robins Kumar ,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,19,19,,7,,4,1,2,,,2,2,2,3,3,99,3,2,,1 2,,2,7 9,,2,3,1,,,1,2,2,1,2,1,3,2,,2,1,5,2,2,3,,1,1,1,2,,1,,1,1,,1,,4,1,1,,3,,,,,1,,24,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,2,,,,,,,,,1,data[350]/data[1],data[350],data[350]/data
351,8.69E+14,2019-04-22T09:58:53.734+05:30,,Ramruchi kanya uchcha vidyalaya gaya ,58,58,,,Maharani road,Shiv mandir,3,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,40,40,1,2,19,19,,12,,4,1,2,,,2,2,3,3,2,1,3,2,,1 2,,2,8 9,,1,2,1,,,2,2,3,1,2,1,3,2,,1,1,5,2,2,3,,1,2,1,2,,1,,1,1,,1,,3,1,1,,1,,,,,1,,24,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,,1,2,2,,,,,1,data[351]/data[1],data[351],data[351]/data
352,8.69E+14,2019-04-22T10:25:43.130+05:30,,Ramruchi kanya uchcha vidyalaya gaya ,58,58,,,Maharani road new  godown,Rainbow public  school ,4,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,20,20,1,1,52,52,,7,,4,1,2,,,2,2,3,2,3,99,3,2,,1 2,,2,8 9,,2,3,1,,,2,2,2,2,2,1,3,2,,2,2,5,2,2,3,,1,2,1,1,,3,,2,3,,2,,99,2,2,,1,,,,,1,,1,,1,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,1,2,2,2,,2,1,2,,,,,1,data[352]/data[1],data[352],data[352]/data
353,8.69E+14,2019-04-22T11:02:54.963+05:30,,Ramruchi kanya uchcha vidyalaya gaya,58,58,,,Rajendra path,New  godown,5,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,40,40,1,2,23,23,,9,,4,1,2,,,3,3,2,2,3,1,3,2,,1 3,,2,9 13,,2,2,2,,,1,2,2,1,2,1,1,2,,2,1,5,2,2,3,,1,2,1,2,,1,,1,1,,1,,4,2,2,,2,,,,,1,,4,,1,,3,,,1,1,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,2,2,1,1,1,2,,,,,,1,2,2,1,data[353]/data[1],data[353],data[353]/data
354,8.69E+14,2019-04-22T11:27:50.114+05:30,,Ramruchi kanya uchcha vidyalaya gaya,58,58,,,Rajendra path new godown,Shiv mandir,6,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,21,21,2,1,59,59,,12,,4,1,2,,,2,2,2,3,3,99,3,2,,1 2,,2,8 9,,1,3,1,,,1,2,2,2,2,1,2,2,,2,1,5,2,2,3,,1,2,2,1,,1,,1,1,,1,,4,1,1,,3,,,,,1,,4,,1,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,2,,,,,,,,,1,data[354]/data[1],data[354],data[354]/data
355,8.69E+14,2019-04-22T11:48:39.916+05:30,,Ramruchi kanya uchcha vidyalaya gaya ,58,58,,, Rajendra path new godawn,Shiv mandir,7,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,7,,4,1,2,,,2,2,2,2,3,1,3,2,,1,,1,9,,1,3,1,,,1,2,2,1,2,1,3,2,,2,1,5,2,1,3,,1,2,1,2,,1,,1,1,,1,,3,2,2,,1,,,,,1,,23,,4,,3,,,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,1,2,2,,1,2,2,,,,,1,data[355]/data[1],data[355],data[355]/data
356,8.69E+14,2019-04-22T12:37:13.567+05:30,,Ramruchi kanya uchcha vidyalaya gaya,58,58,,,Rajendra path ,Shiv mandir,8,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,50,50,1,2,19,19,,12,,4,1,2,,,2,3,3,2,2,1,3,3,,1 2,,2,8,,2,3,1,,,2,2,2,1,2,2,3,2,,2,1,5,2,2,3,,1,2,1,2,,1,,2,1,,1,,3,1,1,,2,,,,,1,,24,,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,,,,,,1,2,2,1,data[356]/data[1],data[356],data[356]/data
357,8.69E+14,2019-04-22T13:08:11.679+05:30,,Ramruchi kanya uchcha vidyalaya gaya ,58,58,,,Rajendra path,Shiv mandir,9,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,6,,4,1,2,,,3,2,3,2,3,1,3,3,,1 2,,2,8,,1,3,1,,,1,2,2,1,2,1,3,2,,1,1,5,3,3,3,,1,2,1,2,,1,,1,1,,1,,3,2,2,,3,,,,,1,,999,Varnvale,1,,3,,,1,2,2,2,1,2,1,1,2,1,2,1,1,2,1,2,2,1,2,2,2,2,2,2,,,,,,,,,1,data[357]/data[1],data[357],data[357]/data
358,8.69E+14,2019-04-22T13:37:18.519+05:30,,Ramruchi  kanya uchcha vidyalaya,12,58,,,Maharani road,Shiv mandir,10,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,4,1,2,,,2,2,3,3,3,1,3,2,,2,,2,8,,2,3,1,,,2,2,2,2,1,2,3,2,,2,1,5,2,2,3,,1,1,1,1,,1,,1,1,,1,,3,2,2,,1,,,,,1,,24,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,,1,2,2,,,,,1,data[358]/data[1],data[358],data[358]/data
359,8.69E+14,2019-04-22T14:00:04.048+05:30,,Ramruchi kanya uchcha vidyalaya gaya ,58,58,,,Maharani road,Shiv mandir,11,,Rajesh kumar 1,11,Robins Kumar,1,,,1,,,1,1,1,1,1,1,,,29,29,1,2,24,24,,9,,4,1,2,,,2,2,2,3,3,1,3,2,,1 2,,2,8,,2,3,1,,,2,2,2,1,1,1,3,4,,2,3,5,2,3,3,,2,2,2,1,,1,,1,1,,1,,3,1,1,,2,,,,,1,,24,,4,,3,,,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,,,,,,2,2,2,1,data[359]/data[1],data[359],data[359]/data
360,8.69E+14,2019-04-22T14:21:31.341+05:30,,Ramruchi kanya uchcha vidyalaya gaya,58,58,,,Ramdhanpur,Radha Krishna thakurwari,12,,Rajesh kumar 1,11,Robins kumar,1,,,1,,,1,1,1,1,1,1,,,26,26,1,2,59,59,,12,,4,1,1,,,1,1,2,3,2,2,2,2,,1 2,,2,8,,2,3,1,,,2,2,1,2,2,2,2,2,,2,1,5,2,2,3,,1,1,1,1,,1,,1,1,,1,,3,1,1,,3,,,,,1,,1,,1,,2,,,1,2,2,2,1,2,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[360]/data[1],data[360],data[360]/data
361,8.69E+14,2019-04-23T12:15:24.572+05:30,,Jain Dharamshala road,79,79,,,B n gha road murar pur,MajÌÊr,1,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,45,45,1,2,9,9,,5,,2,1,98,,,3,3,3,3,3,1,2,1,,1,,1,2,,2,3,2,,,2,1,1,2,2,2,1,2,,2,1,1,2,2,1,,98,98,98,98,,2,,1,2,,2,,2,1,1,,2,,,,,2,,999,Drish,2,,3,,,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,98,98,99,1,data[361]/data[1],data[361],data[361]/data
362,8.69E+14,2019-04-23T12:23:15.767+05:30,,Jaindharmshala road,79,79,,,B N gha road murar,Majar,2,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,25,25,1,2,9,9,,9,,4,2,2,,,2,2,3,3,3,2,2,1,,1,,2,9,,2,3,1,,,2,2,2,1,2,1,3,2,,2,1,5,2,2,3,,2,98,1,98,,1,,2,1,,1,,1,1,1,,3,,,,,1,,27,,4,,2,,,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,,,,,,,,,1,data[362]/data[1],data[362],data[362]/data
363,8.69E+14,2019-04-23T12:47:59.001+05:30,,Jain Dharamshala road,79,79,,,BN gha road,MajÌÊr,3,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,18,18,1,2,59,59,,9,,3,1,1,,,3,3,3,3,3,99,3,1,,3,,2,3,,2,2,2,,,1,1,1,1,1,1,1,2,,2,1,5,2,2,1,,2,98,1,2,,1,,1,1,,1,,1,1,1,,1,,,,,1,,5,,3,,1,,,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,,98,98,98,,,,,1,data[363]/data[1],data[363],data[363]/data
364,8.69E+14,2019-04-23T12:59:31.140+05:30,,Jain Dharamshala road,79,79,,,BN Jha road,Majar,4,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,22,22,1,1,59,59,,12,,4,1,2,,,3,3,3,3,3,2,3,2,,1 3,,2,1 9,,2,2,2,,,1,2,2,1,2,1,1,2,,2,1,5,2,2,3,,2,2,1,2,,1,,2,1,,1,,4,1,2,,2,,,,,1,,3,,1,,3,,,1,2,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,1,2,2,2,1,2,2,,,,,,1,2,1,1,data[364]/data[1],data[364],data[364]/data
365,8.69E+14,2019-04-23T13:25:40.776+05:30,,Jain Dharamshala road,79,79,,,BN road,MajÌÊr,79,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,2,1,1,2,,,20,20,1,1,53,53,,7,,3,2,2,,,2,2,3,2,3,2,2,1,,1,,2,9,,2,3,1,,,2,2,2,1,99,1,3,2,,2,4,4,98,2,98,,98,2,1,2,,2,,2,2,,2,,2,1,1,,3,,,,,2,,999,Muslim,2,,2,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[365]/data[1],data[365],data[365]/data
366,8.69E+14,2019-04-23T13:52:02.747+05:30,,Jain Dharamshala road,79,79,,,BN gha road murarpur,Majar,6,,Ghanshyam Tiwari,3,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,4,1,2,,,3,2,3,3,3,2,3,2,,7,,2,9,,2,1,2,,,2,2,2,1,2,1,1,2,,2,1,5,2,2,3,,2,2,2,2,,2,,2,2,,2,,2,1,1,,1,,,,,2,,999,Musli,2,,3,,,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,,2,2,1,,,,,1,data[366]/data[1],data[366],data[366]/data
367,8.69E+14,2019-04-23T07:53:25.646+05:30,,Samudayk vawan,48,48,,,Pashi lane,Khattal ke najdiek,11,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,5,1,2,,,3,3,3,3,2,99,3,3,,1,,2,20,,98,4,,,,2,2,2,1,3,2,5,3,,2,1,5,3,2,3,,98,98,98,98,,1,,2,1,,1,,3,2,2,,1,,,,,1,,10,,4,,3,,,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,,99,98,98,,,,,1,data[367]/data[1],data[367],data[367]/data
368,8.69E+14,2019-04-23T08:29:08.506+05:30,,Samudack vawan,48,48,,,Pashi lane,Hospital k age,12,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,21,21,1,1,59,59,,12,,5,1,2,,,3,3,3,2,3,1,3,3,,21,,98,5,,2,4,,,,2,2,2,2,2,2,4,3,,2,1,5,2,2,3,,98,98,98,98,,1,,2,1,,1,,3,1,1,,2,,,,,1,,10,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,,,,,,98,2,1,1,data[368]/data[1],data[368],data[368]/data
369,8.69E+14,2019-04-23T09:29:15.791+05:30,,Chandersakher jantta colleage gangaa mahal,69,69,,,Panchatti akhharra,Teacher tarning school,1,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,6,1,2,,,3,3,3,3,3,1,3,3,,1,,4,7,,1,2,1,,,1,2,2,1,2,1,4,3,,2,1,5,2,2,3,,98,98,1,98,,2,,2,3,,2,,2,2,2,,3,,,,,2,,999,Kalal,4,,3,,,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,2,1,1,2,,,,,,,,,1,data[369]/data[1],data[369],data[369]/data
370,8.69E+14,2019-04-23T10:10:53.817+05:30,,Chanderchekher coolleage,69,69,,,Panchati akharra,Teacher farming school,2,,Rahul kumar,7,Roobin kumar,1,,,1,,,1,1,1,1,1,1,,,18,18,1,1,59,59,,9,,6,1,2,,,3,3,3,3,3,1,3,2,,1,,2,5,,4,3,1,,,2,2,2,2,2,2,2,2,,2,1,4,2,98,3,,98,98,98,98,,2,,2,2,,2,,3,2,2,,1,,,,,2,,999,Kalal,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,,98,2,1,,,,,1,data[370]/data[1],data[370],data[370]/data
371,8.69E+14,2019-04-23T11:18:32.114+05:30,,Chandershekher jantta cooleage,69,69,,,Panchati akharra,Teacher traning,3,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,6,1,2,,,3,3,3,3,3,99,3,99,,21,,98,4 5,,3,4,,,,2,2,1,2,3,2,3,3,,2,1,5,2,2,3,,99,98,98,98,,2,,2,2,,2,,2,2,2,,2,,,,,2,,999, Karim,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,,,,,,3,2,1,1,data[371]/data[1],data[371],data[371]/data
372,8.69E+14,2019-04-23T11:41:22.343+05:30,,Chandershekher colleage gangnahal,69,69,,,Panchatti akharra,Teacher tarnining k aage,4,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,30,30,1,2,9,9,,12,,6,2,2,,,3,3,3,3,3,99,3,3,,1,,2,5,,3,4,,,,2,2,2,1,2,1,3,3,,2,1,5,2,2,3,,99,98,98,98,,2,,2,2,,2,,3,2,2,,3,,,,,2,,999,Ansari,4,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[372]/data[1],data[372],data[372]/data
373,8.69E+14,2019-04-23T13:16:00.594+05:30,,Chander shekher cooleage,69,69,,,Panchati vabwan,Teacher tarning coolleage,5,,Rahul kumar,7,Roobin kumar,1,,,1,,,1,1,1,1,1,1,,,19,19,1,1,59,59,,9,,6,1,2,,,3,3,3,3,3,99,3,3,,21,,4,5,,2,1,1,,,1,2,2,2,2,2,4,2,,2,1,5,2,2,3,,98,98,1,2,,2,,1,2,,2,,2,1,1,,1,,,,,2,,999,No,4,,3,,,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,,98,2,1,,,,,1,data[373]/data[1],data[373],data[373]/data
374,8.69E+14,2019-04-23T13:48:23.624+05:30,,Chandershekher jantta coleage,69,69,,,Panchati akharra,Teacher tarning ,6,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,2,1,1,,,20,20,1,1,59,59,,9,,6,1,2,,,3,3,3,3,3,1,3,3,,3,,2,1 8,,2,2,1,,,2,2,2,1,3,2,1,2,,2,1,5,2,2,1,,2,2,1,2,,2,,2,3,,2,,2,1,1,,2,,,,,2,,999,No,99,,3,,,1,2,2,2,1,2,1,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,2,,,,,,99,2,1,1,data[374]/data[1],data[374],data[374]/data
375,8.69E+14,2019-04-23T14:20:13.022+05:30,,Chander shekher janta colleage,69,69,,,Panchyati akharra,Teacher tarning school ke samene,7,,Rahul kumar,7,Robin kumar,1,,,1,,,1,2,2,2,1,2,,,36,36,1,2,60,60,,3,,3,2,2,,,2,2,2,2,3,99,3,2,,21,,99,20,,98,3,1,,,2,3,2,2,3,2,4,4,,2,1,3,2,2,99,,99,98,98,98,,2,,2,2,,2,,2,1,1,,3,,,,,2,,999,No,99,,3,,,1,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,,,,,,,,,1,data[375]/data[1],data[375],data[375]/data
376,8.69E+14,2019-04-23T14:43:17.796+05:30,,Chander shekher janta cooleage,69,69,,,Panchyati akharras,Teacher terning,8,,Rahul kumar,7,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,19,19,1,1,42,42,,3,,4,2,2,,,3,3,3,2,3,3,3,3,,21,,99,20,,98,4,,,,2,3,2,2,2,2,2,2,,2,98,98,98,98,98,,99,98,98,98,,2,,2,3,,2,,1,2,2,,1,,,,,2,,999,No,98,,3,,,1,2,2,2,1,2,1,1,2,2,2,1,1,2,1,2,1,1,2,2,2,2,2,2,,98,2,1,,,,,1,data[376]/data[1],data[376],data[376]/data
377,8.69E+14,2019-04-22T09:56:00.114+05:30,,Nav Balika central vidyalaya,68,68,,,New colany pipatpate,Gar ka Bagal ma Mandir,6,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,2,1,2,1,1,2,,,32,32,1,1,23,23,,9,,3,1,2,,,2,2,2,3,2,2,2,2,,1,,2,9,,2,3,2,,,2,2,2,2,2,3,2,2,,2,1,5,2,2,3,,2,2,1,2,,1,,2,1,,1,,4,1,2,,1,,,,,1,,2,,1,,3,,,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,1,1,,1,2,2,,,,,1,data[377]/data[1],data[377],data[377]/data
378,8.69E+14,2019-04-22T14:58:47.002+05:30,,District vidyalaya nerashka ka office,49,49,,,Panjabi colony,Gar ka Bagal ma dokan hi,1,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,26,26,2,1,59,59,,12,,3,1,2,,,2,2,2,2,2,2,2,2,,1,,2,9,,2,2,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,3,,1,2,1,1,,3,,1,3,,2,,4,2,2,,3,,,,,1,,8,,4,,3,,,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,,,,,,,,1,data[378]/data[1],data[378],data[378]/data
379,8.69E+14,2019-04-23T09:09:51.589+05:30,,District vidyalaya nerashka ka office,49,49,,,Panjabi colony,Gar ka Bagal ma Mandir hi,2,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,32,32,1,2,19,19,,9,,3,1,2,,,2,3,3,3,2,3,3,3,,1,,2,9,,2,1,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,3,,1,2,1,2,,1,,1,1,,1,,4,1,1,,1,,,,,1,,2,,1,,3,,,1,1,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,,2,2,2,,,,,1,data[379]/data[1],data[379],data[379]/data
380,8.69E+14,2019-04-23T09:46:52.984+05:30,,Nav Balika cantral vidyalaya,68,68,,,New area piparpatee,Gar ka Bagal ma dokan hi,1,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,26,26,1,1,59,59,,12,,3,1,2,,,2,3,3,3,3,2,3,3,,1,,2,9,,2,1,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,3,,2,2,1,2,,1,,1,1,,1,,4,2,2,,2,,,,,1,,26,,3,,3,,,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,,,,,,2,98,2,1,data[380]/data[1],data[380],data[380]/data
381,8.69E+14,2019-04-23T10:26:32.435+05:30,,Nav Balika cantral vidyalaya,68,68,,,New area peprpatee,Gar ka Bagal ma office,2,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,18,18,1,1,59,59,,10,,3,1,2,,,2,1,1,2,2,1,1,1,,2 3,,2,9,,2,1,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,3,,2,2,1,2,,1,,1,1,,1,,4,1,1,,3,,,,,1,,1,,1,,3,,,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,,,,,,,,,1,data[381]/data[1],data[381],data[381]/data
382,8.69E+14,2019-04-23T11:23:21.609+05:30,,Nav Balik control vidyalaya,68,68,,,New area peprpatee,Gar ka Bagal ma office,3,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,65,65,2,2,27,27,,12,,3,1,2,,,3,3,2,3,3,2,2,2,,1,,2,9,,2,1,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,3,,2,2,1,1,,1,,1,1,,1,,4,1,1,,1,,,,,1,,24,,4,,3,,,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,,1,2,2,,,,,1,data[382]/data[1],data[382],data[382]/data
383,8.69E+14,2019-04-23T13:11:01.047+05:30,,Nav Balika control. Vidyalaya,68,68,,,New area piparpante,Gar ka Bagal ma Mandir hi,4,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,26,26,1,1,59,59,,9,,3,1,2,,,2,2,3,2,2,1,2,2,,1,,2,4 9,,2,1,1,,,2,2,1,2,2,2,2,2,,2,1,5,2,2,3,,2,98,1,99,,1,,1,1,,1,,4,2,2,,2,,,,,1,,2,,1,,3,,,1,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,,,,,,3,2,2,1,data[383]/data[1],data[383],data[383]/data
384,8.69E+14,2019-04-23T13:37:37.238+05:30,,Nav Balika control vidyalaya,68,68,,,New area piparpate,Gar ka Bagal ma dokan hi,5,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,36,36,1,2,19,19,,12,,3,1,2,,,2,3,3,3,3,1,3,3,,2,,2,9,,2,2,2,,,2,1,2,1,1,2,2,2,,2,1,5,2,2,3,,1,1,1,2,,1,,1,1,,1,,4,1,1,,3,,,,,1,,2,,1,,3,,,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,,,,,,,,,1,data[384]/data[1],data[384],data[384]/data
385,8.69E+14,2019-04-23T14:31:40.556+05:30,,Nav Balika cantral vidyalaya,68,68,,,New area pipatpate,Gar ka Bagal ma dokan hi,6,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,28,28,1,2,19,19,,10,,3,1,2,,,3,3,3,3,3,2,2,3,,1,,2,9,,2,1,1,,,2,2,2,2,2,2,1,2,,2,1,5,2,2,1,,1,1,1,2,,1,,2,1,,1,,4,1,1,,3,,,,,1,,2,,1,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,,,,,,,,,1,data[385]/data[1],data[385],data[385]/data
386,8.69E+14,2019-04-23T14:51:58.728+05:30,,Nav Balika cantral vidyalaya,68,68,,,New colany pipatpate,Gar ka Bagal ma dokan hi,8,,Abhishek Kumar,9,Robin Kumar,1,,,1,,,1,1,2,1,1,2,,,26,26,1,1,59,59,,10,,3,1,1,,,2,2,2,2,2,2,2,3,,1,,2,9,,2,2,1,,,2,2,1,2,2,2,2,2,,2,1,5,2,2,2,,1,2,1,2,,1,,2,1,,1,,4,1,1,,2,,,,,1,,2,,1,,3,,,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,2,2,,,,,,1,1,2,1,data[386]/data[1],data[386],data[386]/data
387,9.12E+14,2019-04-23T11:11:26.299+05:30,,Central school powerganj no1,63,63,,,Bairagee,Sanjay Gandhi mahila college,1,,Sumit Kumar,12,Chandan Kumar,2,,,1,,,1,1,1,1,1,1,,,23,23,1,1,999,999,Apna hotel hai,2,,1,2,2,,,2,2,2,3,2,1,2,1,,21,,98,20,,4,4,,,,1,3,3,2,3,2,4,3,,2,1,5,2,3,4,,98,98,1,98,,1,,1,1,,1,,98,2,2,,1,,,,,1,,999,Haluaai,1,,3,,,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,98,98,98,,,,,1,data[387]/data[1],data[387],data[387]/data
388,9.12E+14,2019-04-23T11:56:05.207+05:30,,Central schools powerganj no-1,63,63,,,Bairagee,Dak sthan,2,,Sumit Kumar,12,Chandan kumar,2,,,1,,,1,1,1,1,1,1,,,32,32,1,2,19,19,,12,,1,2,2,,,3,3,3,3,3,3,3,3,,1 2,,2,4 7,,2,2,2,,,1,3,1,1,3,1,4,3,,2,1,5,2,2,3,,1,98,1,98,,1,,1,1,,1,,4,1,1,,2,,,,,1,,1,,1,,3,,,2,2,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,99,2,2,1,data[388]/data[1],data[388],data[388]/data
389,9.12E+14,2019-04-23T12:03:05.470+05:30,,Central schools powerganj no-1,63,63,,,Bairagi,Sanjay Gandhi mahila college,3,,Sumit Kumar,12,Chandan kumar,2,,,1,,,1,1,2,2,1,2,,,30,30,1,2,53,53,,5,,2,2,2,,,1,1,2,3,2,1,2,1,,21,,98,20,,99,5,,,,1,3,2,2,3,3,4,4,,2,98,5,1,98,2,,98,98,1,98,,1,,1,1,,1,,3,1,1,,3,,,,,1,,12,,4,,3,,,1,2,2,2,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,,,,,,,,,1,data[389]/data[1],data[389],data[389]/data
